date,clicks
3/2/2021,43558
3/3/2021,42866
3/4/2021,42920
3/5/2021,43496
3/6/2021,46173
3/7/2021,40327
3/8/2021,45168
3/9/2021,44380
3/10/2021,44177
3/11/2021,44721
3/12/2021,45230
3/13/2021,48317
3/14/2021,40095
3/15/2021,48561
3/16/2021,46846
3/17/2021,47482
3/18/2021,47419
3/19/2021,48718
3/20/2021,50120
3/21/2021,43300
3/22/2021,49963
3/23/2021,47817
3/24/2021,47995
3/25/2021,47442
3/26/2021,47680
3/27/2021,48574
3/28/2021,42779
3/29/2021,49187
3/30/2021,46011
3/31/2021,45312
4/1/2021,45069
4/2/2021,46529
4/3/2021,45300
4/4/2021,35757
4/5/2021,48139
4/6/2021,46903
4/7/2021,47216
4/8/2021,47464
4/9/2021,47310
4/10/2021,48163
4/11/2021,41597
4/12/2021,48671
4/13/2021,46906
4/14/2021,46940
4/15/2021,46254
4/16/2021,47352
4/17/2021,47904
4/18/2021,41351
4/19/2021,49282
4/20/2021,47060
4/21/2021,47609
4/22/2021,45993
4/23/2021,46308
4/24/2021,47772
4/25/2021,40997
4/26/2021,44549
4/27/2021,43772
4/28/2021,43262
4/29/2021,42692
4/30/2021,43731
5/1/2021,44083
5/2/2021,41056
5/3/2021,49078
5/4/2021,47302
5/5/2021,45253
5/6/2021,46351
5/7/2021,46322
5/8/2021,44929
5/9/2021,37319
5/10/2021,49513
5/11/2021,47951
5/12/2021,41892
5/13/2021,41506
5/14/2021,42620
5/15/2021,44198
5/16/2021,38671
5/17/2021,45453
5/18/2021,44707
5/19/2021,43249
5/20/2021,43901
5/21/2021,44539
5/22/2021,45619
5/23/2021,39224
5/24/2021,46580
5/25/2021,44889
5/26/2021,44185
5/27/2021,43818
5/28/2021,45311
5/29/2021,45328
5/30/2021,38966
5/31/2021,43884
6/1/2021,44489
6/2/2021,43130
6/3/2021,42317
6/4/2021,42536
6/5/2021,43735
6/6/2021,37343
6/7/2021,44756
6/8/2021,43601
6/9/2021,42839
6/10/2021,43114
6/11/2021,43735
6/12/2021,44002
6/13/2021,38455
6/14/2021,46060
6/15/2021,43743
6/16/2021,43506
6/17/2021,44271
6/18/2021,44084
6/19/2021,43756
6/20/2021,36779
6/21/2021,45983
6/22/2021,44409
6/23/2021,43888
6/24/2021,42900
6/25/2021,43694
6/26/2021,44506
6/27/2021,38493
6/28/2021,46234
6/29/2021,44650
6/30/2021,44261
7/1/2021,43953
7/2/2021,43430
7/3/2021,41539
7/4/2021,31294
7/5/2021,43777
7/6/2021,43357
7/7/2021,42865
7/8/2021,42181
7/9/2021,43580
7/10/2021,43276
7/11/2021,36814
7/12/2021,44445
7/13/2021,42882
7/14/2021,41779
7/15/2021,40924
7/16/2021,41803
7/17/2021,43050
7/18/2021,37628
7/19/2021,45303
7/20/2021,43470
7/21/2021,42503
7/22/2021,45341
7/23/2021,42898
7/24/2021,43968
7/25/2021,38135
7/26/2021,45203
7/27/2021,42683
7/28/2021,42338
7/29/2021,41907
7/30/2021,42406
7/31/2021,44141
8/1/2021,37584
8/2/2021,44057
8/3/2021,42314
8/4/2021,42501
8/5/2021,42344
8/6/2021,42996
8/7/2021,44866
8/8/2021,38118
8/9/2021,44839
8/10/2021,42722
8/11/2021,42423
8/12/2021,42077
8/13/2021,43251
8/14/2021,45201
8/15/2021,38427
8/16/2021,43611
8/17/2021,42293
8/18/2021,42218
8/19/2021,42415
8/20/2021,43509
8/21/2021,44576
8/22/2021,37780
8/23/2021,35539
8/24/2021,40609
8/25/2021,41873
8/26/2021,41495
8/27/2021,42517
8/28/2021,45703
8/29/2021,38248
8/30/2021,43742
8/31/2021,43394
9/1/2021,42669
9/2/2021,42721
9/3/2021,43960
9/4/2021,44881
9/5/2021,38492
9/6/2021,43561
9/7/2021,43807
9/8/2021,41845
9/9/2021,41508
9/10/2021,41341
9/11/2021,42031
9/12/2021,36254
9/13/2021,42629
9/14/2021,41700
9/15/2021,41070
9/16/2021,41403
9/17/2021,41999
9/18/2021,42778
9/19/2021,36550
9/20/2021,42669
9/21/2021,41278
9/22/2021,39937
9/23/2021,40939
9/24/2021,40280
9/25/2021,41409
9/26/2021,35638
9/27/2021,43751
9/28/2021,40831
9/29/2021,40603
9/30/2021,40563
10/1/2021,40059
10/2/2021,41467
10/3/2021,36085
10/4/2021,42999
10/5/2021,42042
10/6/2021,40627
10/7/2021,40305
10/8/2021,41054
10/9/2021,40801
10/10/2021,35211
10/11/2021,43170
10/12/2021,40646
10/13/2021,40817
10/14/2021,40808
10/15/2021,40748
10/16/2021,42090
10/17/2021,36895
10/18/2021,44272
10/19/2021,41698
10/20/2021,41188
10/21/2021,40816
10/22/2021,41629
10/23/2021,42456
10/24/2021,35994
10/25/2021,42267
10/26/2021,41120
10/27/2021,40146
10/28/2021,39517
10/29/2021,39167
10/30/2021,39230
10/31/2021,31592
11/1/2021,42002
11/2/2021,41787
11/3/2021,44853
11/4/2021,45412
11/5/2021,46358
11/6/2021,45097
11/7/2021,39841
11/8/2021,48501
11/9/2021,46917
11/10/2021,45631
11/11/2021,46793
11/12/2021,45810
11/13/2021,45194
11/14/2021,38749
11/15/2021,47172
11/16/2021,46137
11/17/2021,45643
11/18/2021,44612
11/19/2021,44097
11/20/2021,44414
11/21/2021,38094
11/22/2021,46460
11/23/2021,44037
11/24/2021,39927
11/25/2021,29608
11/26/2021,45046
11/27/2021,42920
11/28/2021,37432
11/29/2021,46825
11/30/2021,45308
12/1/2021,43554
12/2/2021,43021
12/3/2021,43424
12/4/2021,42611
12/5/2021,36417
12/6/2021,45667
12/7/2021,44393
12/8/2021,43895
12/9/2021,44121
12/10/2021,43665
12/11/2021,43714
12/12/2021,37402
12/13/2021,47953
12/14/2021,47909
12/15/2021,46397
12/16/2021,45802
12/17/2021,45860
12/18/2021,46174
12/19/2021,40329
12/20/2021,49782
12/21/2021,48194
12/22/2021,46931
12/23/2021,44567
12/24/2021,32905
12/25/2021,29152
12/26/2021,42492
12/27/2021,57317
12/28/2021,56935
12/29/2021,56166
12/30/2021,54195
12/31/2021,42838
1/1/2022,42297
1/2/2022,43309
1/3/2022,54452
1/4/2022,52375
1/5/2022,51441
1/6/2022,49816
1/7/2022,51015
1/8/2022,53564
1/9/2022,43732
1/10/2022,52762
1/11/2022,51874
1/12/2022,52991
1/13/2022,52512
1/14/2022,51677
1/15/2022,50960
1/16/2022,42776
1/17/2022,49957
1/18/2022,47339
1/19/2022,47488
1/20/2022,47564
1/21/2022,48924
1/22/2022,53151
1/23/2022,46273
1/24/2022,52974
1/25/2022,52991
1/26/2022,51802
1/27/2022,52093
1/28/2022,52952
1/29/2022,54739
1/30/2022,46758
1/31/2022,53569
2/1/2022,47714
2/2/2022,45071
2/3/2022,47113
2/4/2022,52532
2/5/2022,55755
2/6/2022,48099
2/7/2022,55779
2/8/2022,53135
2/9/2022,52567
2/10/2022,51777
2/11/2022,52117
2/12/2022,52063
2/13/2022,41063
2/14/2022,49053
2/15/2022,52914
2/16/2022,53733
2/17/2022,53803
2/18/2022,54831
2/19/2022,57018
2/20/2022,49585
2/21/2022,59300
2/22/2022,54858
2/23/2022,53565
2/24/2022,50987
2/25/2022,52644
2/26/2022,54116
